PlotTag,Species4,SppCommon,DBHClass,DBHmid,StemCount,TotalSaplings,TotalSeedlings,SapAreaha,Species2,Year,TreeStatus,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p016,ACSP,"mountain maple",0to2cm,1,0,0,3,0.0024,MM,1995,1,Core,279500,4870500,795,12.62,0.05,765,155,14.2024307747344,1995,2005,2015,10,10,H,NH.wood
p016,PIRU,"red spruce",0to2cm,1,1,4,1,0.0024,RS,1995,1,Core,279500,4870500,795,12.62,0.05,765,155,14.2024307747344,1995,2005,2015,10,10,H,NH.wood
p016,ACPE,"striped maple",0to2cm,1,0,0,1,0.0024,STM,1995,1,Core,279500,4870500,795,12.62,0.05,765,155,14.2024307747344,1995,2005,2015,10,10,H,NH.wood
p016,BEAL,"yellow birch",0to2cm,1,0,0,2,0.0024,YB,1995,1,Core,279500,4870500,795,12.62,0.05,765,155,14.2024307747344,1995,2005,2015,10,10,H,NH.wood
p017,FAGR,beech,0to2cm,1,9,9,4,0.0024,AB,1995,1,Core,279500,4870300,795,12.62,0.05,750,178,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p017,PIRU,"red spruce",0to2cm,1,0,0,1,0.0024,RS,1995,1,Core,279500,4870300,795,12.62,0.05,750,178,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p017,ACSA,"sugar maple",0to2cm,1,0,0,16,0.0024,SM,1995,1,Core,279500,4870300,795,12.62,0.05,750,178,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p017,ACPE,"striped maple",0to2cm,1,2,2,16,0.0024,STM,1995,1,Core,279500,4870300,795,12.62,0.05,750,178,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p017,FRAM,"white ash",0to2cm,1,0,0,1,0.0024,WA,1995,1,Core,279500,4870300,795,12.62,0.05,750,178,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p018,FAGR,beech,0to2cm,1,4,6,4,0.0024,AB,1995,1,Core,279500,4870200,795,12.62,0.05,700,186,10.4516067920691,1995,2005,2015,10,10,M,NH.wood
p018,ACSA,"sugar maple",0to2cm,1,0,0,6,0.0024,SM,1995,1,Core,279500,4870200,795,12.62,0.05,700,186,10.4516067920691,1995,2005,2015,10,10,M,NH.wood
p018,ACPE,"striped maple",0to2cm,1,0,0,4,0.0024,STM,1995,1,Core,279500,4870200,795,12.62,0.05,700,186,10.4516067920691,1995,2005,2015,10,10,M,NH.wood
p019,FAGR,beech,0to2cm,1,5,8,3,0.0024,AB,1995,1,Core,279500,4870000,795,12.62,0.05,670,116,14.6874626703797,1995,2005,2015,10,10,M,NH.wood
p019,ACSA,"sugar maple",0to2cm,1,2,2,7,0.0024,SM,1995,1,Core,279500,4870000,795,12.62,0.05,670,116,14.6874626703797,1995,2005,2015,10,10,M,NH.wood
p019,ACPE,"striped maple",0to2cm,1,3,3,6,0.0024,STM,1995,1,Core,279500,4870000,795,12.62,0.05,670,116,14.6874626703797,1995,2005,2015,10,10,M,NH.wood
p019,BEAL,"yellow birch",0to2cm,1,0,0,1,0.0024,YB,1995,1,Core,279500,4870000,795,12.62,0.05,670,116,14.6874626703797,1995,2005,2015,10,10,M,NH.wood
p020,PIRU,"red spruce",0to2cm,1,0,1,5,0.0024,RS,1995,1,Core,279500,4869900,795,12.62,0.05,670,156,13.8761466839291,1995,2005,2015,10,10,M,SF.spruce
p020,ACPE,"striped maple",0to2cm,1,0,0,2,0.0024,STM,1995,1,Core,279500,4869900,795,12.62,0.05,670,156,13.8761466839291,1995,2005,2015,10,10,M,SF.spruce
p020,BEAL,"yellow birch",0to2cm,1,0,0,3,0.0024,YB,1995,1,Core,279500,4869900,795,12.62,0.05,670,156,13.8761466839291,1995,2005,2015,10,10,M,SF.spruce
p021,FAGR,beech,0to2cm,1,15,16,3,0.0024,AB,1995,1,Core,279500,4869700,795,12.62,0.05,655,102,20.5270520287448,1995,2005,2015,10,10,M,NH.wood
p021,ACPE,"striped maple",0to2cm,1,0,0,2,0.0024,STM,1995,1,Core,279500,4869700,795,12.62,0.05,655,102,20.5270520287448,1995,2005,2015,10,10,M,NH.wood
p022,FAGR,beech,0to2cm,1,8,9,1,0.0024,AB,1995,1,Core,279500,4869600,795,12.62,0.05,675,98,12.9482950302069,1995,2005,2015,10,10,M,NH.wood
p022,ACSA,"sugar maple",0to2cm,1,0,0,1,0.0024,SM,1995,1,Core,279500,4869600,795,12.62,0.05,675,98,12.9482950302069,1995,2005,2015,10,10,M,NH.wood
