PlotTag,Species4,SppCommon,DBH,CrownStatus,TreeStatus,Year,PlotGrid,UTM.Easting,UTM.Northing,Transect No.,PlotRadiusm,PlotAreaha,SapAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p012,FAGR,beech,2.2,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,FAGR,beech,2.2,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,ACPE,striped maple,3,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,ACPE,striped maple,2.4,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,ACPE,striped maple,2.5,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,FAGR,beech,2.4,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p012,FAGR,beech,4.5,NA,1,2005,Core,280000,4870000,800,12.62,0.05,0.005048,640,186,9.511483841,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,2.7,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,7.3,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,2.9,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,3.1,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,2,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,2,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,3,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,2.8,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,3,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,6.2,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,5.9,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,3.1,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,7.9,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,ACSA,sugar maple,8,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p013,FAGR,beech,4.9,NA,1,2005,Core,280000,4870200,800,12.62,0.05,0.005048,690,120,27.10693636,1995,2005,2015,10,10,M,NH.wood
p014,FAGR,beech,4.2,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,3.3,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,2.5,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,2.3,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,6.5,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,3.9,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,4.6,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,7.5,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,5.7,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,2.1,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,3.2,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,3.1,NA,4,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,2.6,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,2.7,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,2.7,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,4.8,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,ACPE,striped maple,3.2,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p014,FAGR,beech,5.8,NA,1,2005,Core,280000,4870300,800,12.62,0.05,0.005048,720,145,19.63935975,1995,2005,2015,10,10,H,NH.wood
p015,FAGR,beech,7,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
