PlotTag,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p124,Core,278000,4869000,780,12.62,0.05,570,224,24.3979182337487,1995,2005,2015,10,10,L,NH.wood
p125,Core,278000,4869100,780,12.62,0.05,620,94,14.5488140247726,1995,2005,2015,10,10,L,NH.high
p126,Core,278000,4869300,780,12.62,0.05,590,2,2.75443798258504,1995,2005,2015,10,10,L,SF.spruce
p127,Core,278000,4869400,780,12.62,0.05,575,244,4.73531614109023,1995,2005,2015,10,10,L,SF.spruce
p128,Core,278000,4869600,780,12.62,0.05,580,NA,2.18200776221494,1995,2005,2015,10,10,L,SF.spruce
p129,Core,278000,4869700,780,12.62,0.05,605,182,11.8652772940821,1995,2005,2015,10,10,L,NH.high
p130,Core,278000,4869900,780,12.62,0.05,640,195,14.2024307747344,1995,2005,2015,10,10,M,NH.high
p131,Core,278000,4870000,780,10,0.0314,690,174,44.1747678145849,1995,2005,2015,10,10,M,SF.spruce
p132,Core,278000,4870200,780,12.62,0.05,710,66,2.73503082577468,1995,2005,2015,10,10,M,SF.spruce
p133,Core,278000,4870300,780,12.62,0.05,735,160,19.5386762621956,1995,2005,2015,10,10,H,NH.high
p134,Core,278000,4870500,780,12.62,0.05,750,145,11.3935608301645,1995,2005,2015,10,10,H,SF.spruce
p135,Core,278000,4870600,780,12.62,0.05,745,164,22.9030574197392,1995,2005,2015,10,10,H,NH.high
p136,Core,278000,4870800,780,12.62,0.05,775,80,7.87017068246184,1995,2005,2015,10,10,H,SF.spruce
p137,Core,278000,4870900,780,12.62,0.05,770,76,5.98001759814685,1995,2005,2015,10,10,H,SF.spruce
p138,Core,278000,4868200,780,12.62,0.05,550,12,16.3158959524957,1995,2005,2015,10,10,L,NH.wood
p139,Core,278000,4868100,780,12.62,0.05,570,0,16.7342609081419,1995,2005,2015,10,10,L,NH.wood
p140,Core,278000,4867900,780,12.62,0.05,600,0,8.7488663525924,1995,2005,2015,10,10,L,NH.high
p141,Core,278000,4867800,780,12.62,0.05,610,307,9.72677572215896,1995,2005,2015,10,10,L,NH.high
p142,Core,278000,4867600,780,12.62,0.05,610,295,15.6397146073581,1995,2005,2015,10,10,L,NH.wood
p143,Core,278000,4867500,780,12.62,0.05,630,306,11.0401027815818,1995,2005,2015,10,10,M,NH.wood
p144,Core,278000,4867300,780,12.62,0.05,660,312,17.9928399279259,1995,2005,2015,10,10,M,NH.wood
p145,Core,278000,4867200,780,12.62,0.05,690,319,15.4311783816243,1995,2005,2015,10,10,M,SF.spruce
p146,Core,278000,4867000,780,12.62,0.05,710,308,10.7065314916878,1995,2005,2015,10,10,M,NH.wood
p147,Core,278000,4866900,780,12.62,0.05,705,350,18.3333893895296,1995,2005,2015,10,10,M,NH.high
p148,Core,278000,4866700,780,12.62,0.05,740,0,26.7949192431122,1995,2005,2015,10,10,H,NH.wood
p149,Core,278000,4866600,780,12.62,0.05,750,349,26.1308990214671,1995,2005,2015,10,10,H,SF.firbirch
p150,Core,278000,4866400,780,12.62,0.05,820,4,15.6595821004312,1995,2005,2015,10,10,H,SF.firbirch
p151,Core,278000,4866300,780,12.62,0.05,820,275,19.2368538006798,1995,2005,2015,10,10,H,SF.firbirch
p152,Core,277500,4868200,775,12.62,0.05,540,28,3.82219147598217,1995,2005,2015,10,10,L,NH.high
p153,Core,277500,4868400,775,12.62,0.05,520,332,2.98734045452657,1995,2005,2015,10,10,L,SF.spruce
p154,Core,277500,4868500,775,12.62,0.05,515,344,7.59705107501998,1995,2005,2015,10,10,L,NH.hemlock
p155,Core,277500,4868700,775,12.62,0.05,515,NA,0,1995,2005,2015,10,10,L,SF.spruce
p156,Core,277500,4868800,775,12.62,0.05,490,NA,1.74550649282175,1995,2005,2015,10,10,L,NH.hemlock
p157,Core,277500,4869000,775,12.62,0.05,505,232,16.7342609081419,1995,2005,2015,10,10,L,NH.high
p158,Core,277500,4869100,775,12.62,0.05,525,238,30.9976776254845,1995,2005,2015,10,10,L,NH.wood
p159,Core,277500,4869300,775,12.62,0.05,575,262,19.2770771660667,1995,2005,2015,10,10,L,NH.wood
p160,Core,277500,4869400,775,12.62,0.05,590,230,32.8138728730382,1995,2005,2015,10,10,L,NH.hemlock
p161,Core,277500,4869600,775,12.62,0.05,585,236,21.8035260431028,1995,2005,2015,10,10,L,NH.hemlock
p162,Core,277500,4869700,775,12.62,0.05,600,198,30.382322998118,1995,2005,2015,10,10,L,NH.high
p163,Core,277500,4869900,775,12.62,0.05,645,260,34.5412563703344,1995,2005,2015,10,10,M,NH.high
p164,Core,277500,4870000,775,12.62,0.05,655,347,7.99701564848511,1995,2005,2015,10,10,M,NH.high
p165,Core,277500,4870200,775,12.62,0.05,700,146,17.4927630855118,1995,2005,2015,10,10,M,NH.high
p166,Core,277500,4870300,775,12.62,0.05,750,146,16.3955412216298,1995,2005,2015,10,10,H,NH.high
p167,Core,277500,4870500,775,12.62,0.05,810,166,34.4110710202042,1995,2005,2015,10,10,H,NH.high
p168,Core,277500,4870600,775,10,0.0314,840,176,13.3428487434286,1995,2005,2015,10,10,H,SF.firbirch
p169,Core,277500,4870700,775,12.62,0.05,835,120,12.8694322174618,1995,2005,2015,10,10,H,SF.firbirch
p170,Core,277500,4870900,775,12.62,0.05,835,354,15.0640750263859,1995,2005,2015,10,10,H,SF.firbirch
p171,Core,277500,4868100,775,12.62,0.05,550,5,6.2622632971496,1995,2005,2015,10,10,L,NH.high
p172,Core,277500,4867900,775,12.62,0.05,540,301,8.59255957903291,1995,2005,2015,10,10,L,NH.high
p173,Core,277500,4867800,775,12.62,0.05,555,337,7.93358999421771,1995,2005,2015,10,10,L,NH.high
p174,Core,277500,4867600,775,12.62,0.05,570,333,21.438142424973,1995,2005,2015,10,10,L,NH.hemlock
p175,Core,277500,4867500,775,12.62,0.05,600,318,22.7194425798742,1995,2005,2015,10,10,L,NH.hemlock
p176,Core,277500,4867300,775,12.62,0.05,660,305,12.130845520241,1995,2005,2015,10,10,M,NH.hemlock
p177,Core,277500,4867200,775,12.62,0.05,660,336,17.1531964804578,1995,2005,2015,10,10,M,SF.spruce
p178,Core,277500,4867000,775,12.62,0.05,710,339,18.7144913215174,1995,2005,2015,10,10,M,NH.wood
p179,Core,277500,4866900,775,12.62,0.05,730,339,20.1030010718191,1995,2005,2015,10,10,H,NH.high
p180,Core,277500,4866700,775,12.62,0.05,790,336,17.9327851095531,1995,2005,2015,10,10,H,NH.high
p181,Core,277500,4866600,775,12.62,0.05,820,37,21.5903186089777,1995,2005,2015,10,10,H,SF.firbirch
p182,Core,277000,4866300,770,12.62,0.05,860,134,0.28119267616381,1996,2005,2015,9,10,H,SF.firbirch
p183,Core,277000,4866400,770,12.62,0.05,830,268,44.4764031434961,1996,2005,2015,9,10,H,SF.spruce
p184,Core,277000,4866600,770,12.62,0.05,790,350,21.5598757474771,1996,2005,2015,9,10,H,NH.high
p185,Core,277000,4866700,770,12.62,0.05,755,352,19.3173065466101,1996,2005,2015,9,10,H,NH.wood
p186,Core,277000,4866900,770,12.62,0.05,725,18,17.9027624017439,1996,2005,2015,9,10,H,NH.high
p187,Core,277000,4867000,770,12.62,0.05,690,307,20.133267231836,1996,2005,2015,9,10,M,NH.high
p188,Core,277000,4867200,770,12.62,0.05,680,132,16.9735818260966,1996,2005,2015,9,10,M,NH.high
p189,Core,277000,4867300,770,12.62,0.05,710,70,17.2330596762082,1995,2005,2015,10,10,M,NH.wood
p190,Core,277000,4867500,770,12.62,0.05,705,28,8.61209563126477,1995,2005,2015,10,10,M,NH.wood
p191,Core,277000,4867600,770,12.62,0.05,690,80,35.3027728146534,1995,2005,2015,10,10,M,NH.wood
p192,Core,277000,4867800,770,12.62,0.05,680,79,20.9619346790661,1995,2005,2015,10,10,M,NH.wood
p193,Core,277000,4867900,770,12.62,0.05,670,30,6.11626201504843,1995,2005,2015,10,10,M,NH.wood
p194,Core,277000,4868100,770,12.62,0.05,660,44,14.3904254445763,1995,2005,2015,10,10,M,NH.wood
p195,Core,277000,4868200,770,12.62,0.05,640,16,46.4420276620931,1995,2005,2015,10,10,M,NH.wood
p196,Core,277000,4868400,770,12.62,0.05,575,42,17.9027624017439,1996,2005,2015,9,10,L,NH.wood
p198,Core,277000,4868700,770,12.62,0.05,530,74,5.18244226934546,1995,2005,2015,10,10,L,NH.wood
p199,Core,277000,4868800,770,12.62,0.05,530,20,5.43525604066424,1995,2005,2015,10,10,L,NH.high
p200,Core,277000,4869000,770,12.62,0.05,540,228,6.34987679359105,1995,2006,2016,11,10,L,NH.high
p201,Core,277000,4869100,770,12.62,0.05,540,180,15.8384440324536,1995,2006,2016,11,10,L,NH.high
p202,Core,277000,4869300,770,12.62,0.05,580,14,20.183718713149,1995,2006,2016,11,10,L,SF.spruce
p203,Core,277000,4869400,770,12.62,0.05,590,84,25.489680375378,1995,2006,2016,11,10,L,NH.high
p204,Core,277000,4869600,770,12.62,0.05,590,75,14.0540834702391,1995,2006,2016,11,10,L,NH.wood
p205,Core,277000,4869700,770,12.62,0.05,580,68,10.333994738766,1995,2006,2016,11,10,L,NH.wood
p206,Core,277000,4869900,770,12.62,0.05,595,178,29.4105293685305,1995,2006,2016,11,10,L,NH.high
p207,Core,277000,4870000,770,12.62,0.05,640,215,13.3625870502985,1996,2006,2016,10,10,M,NH.wood
p208,Core,277000,4870200,770,12.62,0.05,705,216,13.1652497587395,1996,2006,2016,10,10,M,NH.high
p209,Core,277000,4870300,770,12.62,0.05,720,220,17.5327377054434,1996,2006,2016,10,10,H,SF.spruce
p210,Core,277000,4870500,770,12.62,0.05,790,200,19.6393597528532,1996,2006,2016,10,10,H,SF.spruce
p211,Core,277000,4870600,770,12.62,0.05,810,196,15.3418459260162,1996,2006,2016,10,10,H,NH.wood
p212,Core,277000,4870800,770,12.62,0.05,900,195,29.621349496208,1996,2006,2016,10,10,H,SF.spruce
p213,Core,277000,4870900,770,12.62,0.05,910,208,33.1363912358213,1996,2006,2016,10,10,H,SF.spruce
p214,Core,276500,4869100,765,12.62,0.05,540,102,34.3026628523265,1996,2006,2016,10,10,L,NH.wood
p215,Core,276500,4869000,765,12.62,0.05,555,70,26.7949192431122,1996,2006,2016,10,10,L,NH.wood
p216,Core,276500,4868800,765,12.62,0.05,600,114,23.2094091331426,1996,2006,2016,10,10,L,NH.high
p217,Core,276500,4868700,765,12.62,0.05,590,112,7.22656814181835,1996,2006,2016,10,10,L,NH.high
p218,Core,276500,4868500,765,12.62,0.05,585,55,5.14355378669733,1996,2006,2016,10,10,L,NH.hemlock
p219,Core,276500,4868400,765,12.62,0.05,590,110,16.9336819481128,1996,2006,2016,10,10,L,NH.hemlock
p220,Core,276500,4868200,765,12.62,0.05,630,54,15.3021502981226,1996,2006,2016,10,10,M,NH.hemlock
p221,Core,276500,4868100,765,12.62,0.05,625,23,19.9214782415618,1996,2006,2016,10,10,L,NH.hemlock
p222,Core,276500,4867900,765,12.62,0.05,660,51,7.69458064836253,1996,2006,2016,10,10,M,NH.high
p223,Core,276500,4867800,765,12.62,0.05,685,61,26.2863335804483,1996,2006,2016,10,10,M,NH.high
p224,Core,276500,4867600,765,12.62,0.05,730,350,20.9518125542608,1996,2006,2016,10,10,H,NH.high
p225,Core,276500,4867500,765,12.62,0.05,750,20,20.4462261969151,1996,2006,2016,10,10,H,SF.firbirch
p226,Core,276500,4867300,765,12.62,0.05,785,28,14.3112577197864,1996,2006,2016,10,10,H,SF.firbirch
p227,Core,276500,4867200,765,12.62,0.05,790,14,24.2541374305688,1996,2006,2016,10,10,H,SF.firbirch
p228,Core,276500,4867000,765,12.62,0.05,818,112,19.9214782415618,1996,2006,2016,10,10,H,SF.firbirch
p229,Core,276500,4866900,765,12.62,0.05,805,38,3.22027531087104,1996,2006,2016,10,10,H,NH.wood
p230,Core,276500,4866700,765,12.62,0.05,805,11,18.9052388007044,1996,2006,2016,10,10,H,NH.high
p231,Core,276500,4866600,765,12.62,0.05,840,15,31.8499797497617,1996,2006,2016,10,10,H,SF.firbirch
p232,Core,276500,4869300,765,12.62,0.05,539,348,0.7563237632553,1996,2006,2016,10,10,L,NH.hemlock
p233,Core,276500,4869400,765,12.62,0.05,550,234,9.71698780421371,1996,2006,2016,10,10,L,NH.wood
p234,Core,276500,4869600,765,12.62,0.05,575,239,16.0571875062785,1996,2006,2016,10,10,L,NH.wood
p235,Core,276500,4869700,765,12.62,0.05,589,216,12.1013296765107,1996,2006,2016,10,10,L,NH.hemlock
p236,Core,276500,4869900,765,12.62,0.05,610,220,14.746900414828,1996,2006,2016,10,10,L,NH.wood
p237,Core,276500,4870000,765,12.62,0.05,615,220,9.28649932581595,1996,2006,2016,10,10,L,NH.wood
p238,Core,276500,4870200,765,12.62,0.05,700,160,13.6587852902092,1996,2006,2016,10,10,M,NH.high
p239,Core,276500,4870300,765,12.62,0.05,735,140,7.2850520717273,1996,2006,2016,10,10,H,SF.spruce
p240,Core,276500,4870500,765,12.62,0.05,755,112,9.78550711364926,1996,2006,2016,10,10,H,SF.spruce
p241,Core,276500,4870600,765,12.62,0.05,755,42,13.5205304647795,1996,2006,2016,10,10,H,SF.firbirch
p242,Core,276500,4870800,765,12.62,0.05,800,242,10.1184458543085,1996,2006,2016,10,10,H,SF.firbirch
p243,Core,276500,4870900,765,12.62,0.05,825,210,15.5403951864442,1996,2006,2016,10,10,H,NH.high
p244,Core,276500,4871100,765,12.62,0.05,860,178,25.489680375378,1996,2006,2016,10,10,H,SF.firbirch
p245,Core,276500,4871200,765,12.62,0.05,895,190,35.5210166283727,1996,2006,2016,10,10,H,SF.firbirch
